Date,Dynamic_Portfolio,Nifty_50
2021-01-01,100.0,100.0
2021-01-04,101.14978646699984,100.81606727271107
2021-01-05,101.07348682981173,101.29115097906339
2021-01-06,100.68308867391744,100.9112957877091
2021-01-07,100.81788813488687,100.84780546688306
2021-01-08,102.52840376275401,102.34511538324358
2021-01-11,103.46838590787257,103.32596212148233
2021-01-12,104.2708088215374,103.88736452054428
2021-01-13,105.34371596641331,103.89734714395263
2021-01-14,106.06514577320023,104.11670014177692
2021-01-15,105.7079432174622,102.96180187118806
2021-01-18,104.73041369402532,101.87466422718192
2021-01-19,106.05003993735568,103.5856217899561
2021-01-20,106.88916961104172,104.46695577495805
2021-01-21,105.95070752820381,104.07924962995325
2021-01-22,104.64541516596152,102.52095723954058
2021-01-25,104.22773774135102,101.5722109400078
2021-01-27,102.34735881194982,99.63619502799868
2021-01-28,101.22098141776917,98.56653568275847
2021-01-29,100.41531564501474,97.26147312034095
2021-02-01,105.4730920323644,101.87395367059597
2021-02-02,108.40993282195932,104.48942190230764
2021-02-03,109.45444928903873,105.50308660207936
2021-02-04,110.47282357242709,106.25709163337729
2021-02-05,109.98277961931191,106.46110496843453
2021-02-08,112.23947341015264,107.8275122494382
2021-02-09,111.70356057488343,107.7811449490851
2021-02-10,111.5988097028573,107.76117273602736
2021-02-11,112.13757983101357,108.23768452179262
2021-02-12,111.43446316630096,108.16635021355705
2021-02-15,112.27024890365583,109.24635442673964
2021-02-16,112.09523166871759,109.2374376382102
2021-02-17,111.54545579683553,108.49163883885578
2021-02-18,110.51198771568671,107.84998534302883
2021-02-19,109.41050452702895,106.87127724078893
2021-02-22,106.6684897128882,104.68809213048826
2021-02-23,107.26325657730618,104.91707247342796
2021-02-24,108.90132620311242,106.87306059849485
2021-02-25,109.55225697210203,107.69589905749545
2021-02-26,105.56793333156251,103.64268923654458
2021-03-01,106.49706916534579,105.30049438019404
2021-03-02,108.3609108848468,106.42436501319685
2021-03-03,110.14718609266637,108.75343017708742
2021-03-04,108.85071461467282,107.57748689232088
2021-03-05,107.86328630616127,106.5599001988444
2021-03-08,108.38604665518719,106.68901947649539
2021-03-09,109.06728417482134,107.70339473285307
2021-03-10,109.76035794569063,108.248384668028
2021-03-12,108.79798277508084,107.22224343055609
2021-03-15,107.82116570798071,106.49855548025826
2021-03-16,107.76828699485284,106.36266501631775
2021-03-17,106.79587791216714,105.01337378954598
2021-03-18,105.97964610761501,103.84741312818777
2021-03-19,106.9796683718321,105.17530406248888
2021-03-22,107.21566462870267,105.12109277472628
2021-03-23,107.58004490269734,105.67999429325536
2021-03-24,105.50357504004221,103.78714121072157
2021-03-25,103.8890678902762,102.18568599083358
2021-03-26,105.03724012358923,103.48681959330533
2021-03-30,107.07564406348384,105.89649113225386
2021-03-31,106.36746019137696,104.79509359284165
2021-04-01,107.46866571951728,106.05520996807793
2021-04-05,106.07713816178503,104.4177323157792
2021-04-06,106.31556422303221,104.74373149766384
2021-04-07,107.33945011329467,105.71066665254847
2021-04-08,107.4333569940956,106.10122199013807
2021-04-09,107.31740135478451,105.8233734663124
2021-04-12,103.51485569485055,102.08510043647682
2021-04-13,105.25998193903612,103.46898601624642
2021-04-15,105.92967699497373,104.01576627536828
2021-04-16,105.97170346333289,104.27541897760105
2021-04-19,104.29548534790666,102.43214463253916
2021-04-20,104.40629078068903,101.98238321236227
2021-04-22,104.89976536845887,102.76527724524738
2021-04-23,103.87492747810417,102.3030253548882
2021-04-26,104.60104078231161,103.32774547918824
2021-04-27,105.94299528221742,104.52651713583838
2021-04-28,106.98785392721105,106.03523775502018
2021-04-29,106.7254405913112,106.25174156025967
2021-04-30,105.03335840879991,104.36993693601315
2021-05-03,105.2287085132754,104.39169947301782
2021-05-04,103.9639189435492,103.40977993365914
2021-05-05,105.48781360536267,104.27541897760106
2021-05-06,105.83522486459442,105.03834079742845
2021-05-07,106.55394567869239,105.73991789866966
2021-05-10,107.58670338225663,106.59021727984452
2021-05-11,107.13673271036527,105.93679780290334
2021-05-12,106.12418016406136,104.83646609837005
2021-05-14,106.24827277327026,104.70306954872137
2021-05-17,107.12457887705027,106.45326098102512
2021-05-18,108.39615263127239,107.7725834388487
2021-05-19,107.76226533736312,107.21653807914547
2021-05-20,107.19051257829695,106.33127513419771
2021-05-21,109.01860518135581,108.25195138343979
2021-05-24,109.17931117389868,108.41174302038384
2021-05-25,109.27105742808708,108.48842740173703
2021-05-26,110.17203226581451,109.1518364683276
2021-05-27,110.36831103345385,109.41148917056036
2021-05-28,110.8233010876778,110.10914427809684
2021-05-31,111.51829273759743,111.15882444403829
2021-06-01,111.20989719145638,111.10211227574283
2021-06-02,110.82126287178485,111.11174658709923
2021-06-03,111.41508926423357,111.92602353586338
2021-06-04,111.22672287207968,111.78264436280634
2021-06-07,112.05420125992735,112.3633084183401
2021-06-08,112.39429881902234,112.28091171933524
2021-06-09,111.5194526240591,111.53368484056789
2021-06-10,112.11674460553041,112.2641509433963
2021-06-11,112.4778503889448,112.70356749563084
2021-06-14,112.63933304290627,112.79273538092527
2021-06-15,112.94021258208727,113.20219709669372
2021-06-16,112.36805940129615,112.47672578869002
2021-06-17,112.00562225345602,111.93351921122094
2021-06-18,111.89520904607352,111.8760895200985
2021-06-21,111.85620461202669,112.3265684631024
2021-06-22,112.05173923022001,112.51382102222071
2021-06-23,111.46356687587124,111.90177405080794
2021-06-24,112.49397699272933,112.64008414104585
2021-06-25,113.24501441518488,113.1387067758677
2021-06-28,112.77820225894874,112.81306983851707
2021-06-29,112.24041957447452,112.34048004645656
2021-06-30,112.128188273895,112.14823269251355
2021-07-01,111.87803445813226,111.85219531333604
2021-07-02,112.12729045852964,112.15322748733824
2021-07-05,112.87944863906979,112.95323757445527
